county,state_name,lat,lng,population
Winnebago,Illinois,42.3363,-89.1609,284591
York,South Carolina,34.9748,-81.1845,282987
Ingham,Michigan,42.5971,-84.3735,282540
Merced,California,37.1919,-120.7177,282290
San Luis Obispo,California,35.3871,-120.4043,281712
Southeastern Connecticut,Connecticut,41.5023,-72.1,280293
Alachua,Florida,29.6747,-82.3577,279729
St. Johns,Florida,29.9016,-81.4407,278722
Kitsap,Washington,47.6127,-122.6762,275411
Atlantic,New Jersey,39.4778,-74.6613,274339
Frederick,Maryland,39.4722,-77.398,273829
St. Joseph,Indiana,41.6166,-86.2899,272388
Erie,Pennsylvania,41.9925,-80.0327,270495
Buncombe,North Carolina,35.6112,-82.5301,269449
Washington,Minnesota,45.0388,-92.8838,268651
Santa Cruz,California,37.0562,-122.0018,268571
Cherokee,Georgia,34.244,-84.4762,268567
Brown,Wisconsin,44.4525,-88.0037,268393
Webb,Texas,27.7611,-99.3315,267282
St. Tammany,Louisiana,30.4103,-89.9584,266168
Madison,Illinois,38.8297,-89.9049,265512
Weber,Utah,41.2698,-111.9134,262960
Kalamazoo,Michigan,42.2455,-85.5312,261426
Cumberland,Pennsylvania,40.1636,-77.2655,261269
McLennan,Texas,31.5524,-97.2018,261090
Harford,Maryland,39.5611,-76.3171,261059
Marin,California,38.0735,-122.7236,260485
St. Clair,Illinois,38.4703,-89.9284,256791
Yakima,Washington,46.4571,-120.7385,256143
Jefferson,Texas,29.8841,-94.1629,254942
Forsyth,Georgia,34.2255,-84.1251,253225
Clay,Missouri,39.3105,-94.4209,253085
Chesapeake,Virginia,36.6778,-76.3023,249377
Williamson,Tennessee,35.8938,-86.8986,248897
Washington,Arkansas,35.9791,-94.2156,247331
Hays,Texas,30.0579,-98.0312,245351
Warren,Ohio,39.4277,-84.1668,243189
Lafayette,Louisiana,30.2068,-92.0639,243175
Henry,Georgia,33.453,-84.1542,240853
Sussex,Delaware,38.6606,-75.39,240668
Union,North Carolina,34.9884,-80.5307,240109
Yavapai,Arizona,34.5998,-112.5537,237830
Norfolk,Virginia,36.8947,-76.257,236973
Saratoga,New York,43.1074,-73.8639,236328
Caddo,Louisiana,32.5806,-93.8823,236259
Arlington,Virginia,38.8786,-77.1011,235845
Canyon,Idaho,43.6251,-116.7093,235006
Smith,Texas,32.375,-95.2692,234667
Brazos,Texas,30.6608,-96.3024,234548
Baldwin,Alabama,30.7277,-87.7226,233420
Lake,Ohio,41.6963,-81.2372,232236
Tuscaloosa,Alabama,33.2896,-87.5251,231558
Berkeley,South Carolina,33.1973,-79.9522,231419
Oneida,New York,43.2418,-75.4358,231055
Barnstable,Massachusetts,41.7244,-70.2903,229436
Linn,Iowa,42.079,-91.599,229308
Gaston,North Carolina,35.2944,-81.1803,228972
New Hanover,North Carolina,34.2329,-77.8848,228134
Montgomery,Alabama,32.2203,-86.2076,228132
Mahoning,Ohio,41.0146,-80.7763,227979
Richmond,Virginia,37.5294,-77.4756,227171
Jefferson,Missouri,38.261,-90.5377,226984
Hinds,Mississippi,32.2667,-90.4429,226541
Whatcom,Washington,48.8259,-121.7199,226523
Cabarrus,North Carolina,35.3868,-80.5519,226396
Shelby,Alabama,33.2643,-86.6607,223916
Jackson,Oregon,42.4322,-122.7285,222604
Montgomery,Tennessee,36.4969,-87.3828,222305
Doña Ana,New Mexico,32.3526,-106.8328,219870
Clay,Florida,29.9831,-81.8579,219650
Johnston,North Carolina,35.5178,-78.3657,219042
Yolo,California,38.6866,-121.9011,217141
Delaware,Ohio,40.2784,-83.0049,216074
Lackawanna,Pennsylvania,41.4367,-75.6092,215672
Mohave,Arizona,35.7041,-113.7579,214229
Butte,California,39.6669,-121.6007,213605
York,Maine,43.4782,-70.7144,212691
Niagara,New York,43.2001,-78.7452,212230
Okaloosa,Florida,30.6913,-86.5917,212021
Calcasieu,Louisiana,30.2293,-93.3581,210770
Washington,Pennsylvania,40.1894,-80.2483,209631
Clermont,Ohio,39.0476,-84.1517,208851
Harrison,Mississippi,30.5122,-89.116,208748
Benton,Washington,46.2398,-119.5112,207560
Elkhart,Indiana,41.5974,-85.8587,206841
Champaign,Illinois,40.1401,-88.1992,206525
Richmond,Georgia,33.3596,-82.0736,206153
Hall,Georgia,34.3171,-83.8195,204953
Anderson,South Carolina,34.5193,-82.6378,204592
Muscogee,Georgia,32.51,-84.8771,204572
Yuma,Arizona,32.7695,-113.9056,204374
Onslow,North Carolina,34.7322,-77.4322,203686
Hawaii,Hawaii,19.5984,-155.5183,202163
Trumbull,Ohio,41.317,-80.7613,201749
St. Louis,Minnesota,47.6031,-92.4707,200122
Deschutes,Oregon,43.915,-121.2281,199352
Broome,New York,42.1602,-75.8196,198365
Minnehaha,South Dakota,43.6742,-96.7915,197742
Racine,Wisconsin,42.7475,-88.0613,197068
Sumner,Tennessee,36.469,-86.4606,196845
Hernando,Florida,28.5537,-82.424,196621
Sangamon,Illinois,39.7582,-89.6589,196122
Ellis,Texas,32.3484,-96.7947,195509
Butler,Pennsylvania,40.912,-79.9133,194562
Livingston,Michigan,42.6029,-83.9115,194302
El Dorado,California,38.7787,-120.5247,191713
Sarpy,Nebraska,41.1129,-96.112,191272
